Longitude,Latitude,City,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
19.23,-34.42,Hermanus,53.01,50.38,70,1026,1.99,1
-56.15,72.79,Upernavik,-5.73,-19.05,79,1004,11.81,0
23.05,-34.04,Knysna,53.6,47.34,81,1025,10.29,75
46.03,-18.77,Tsiroanomandidy,75.18,69.87,40,1019,9.19,95
-155.09,19.73,Hilo,71.94,76.05,88,1016,4.7,90
-139.03,-9.8,Atuona,77.61,76.12,66,1013,12.3,51
166.22,-21.62,Thio,78.8,69.21,50,1013,21.92,52
-52.73,47.67,Torbay,31.98,22.3,74,1024,9.17,20
-73.97,42.6,Albany,45.54,43.34,100,1028,2.06,1
-70.92,-53.15,Punta Arenas,41.0,30.13,80,1014,13.87,0
-80.82,-5.56,Sechura,63.5,61.18,80,1015,8.19,73
-73.65,-37.62,Lebu,51.69,40.91,92,1020,19.04,41
-53.67,66.94,Sisimiut,19.49,-0.78,93,1000,26.75,100
170.5,-45.87,Dunedin,54.0,49.06,67,1021,5.99,100
81.82,7.42,Kalmunai,85.62,93.81,65,1012,1.32,85
168.86,-46.19,Mataura,55.99,50.27,72,1022,8.99,95
18.42,-33.93,Cape Town,50.22,47.34,76,1027,2.24,20
121.9,-33.87,Esperance,78.8,73.9,54,1000,14.99,75
114.16,22.29,Hong Kong,74.77,69.58,31,1008,5.99,76
25.57,-33.92,Port Elizabeth,57.2,51.01,93,1023,13.87,40
30.79,59.7,Nikolskoye,30.65,22.82,92,1022,6.71,0
114.08,71.92,Saskylakh,-4.05,-20.72,86,1005,17.94,92
-42.03,-22.97,Arraial do Cabo,73.45,79.25,94,1015,4.74,62
-159.78,-21.21,Avarua,77.0,79.59,73,1011,6.93,100
-152.41,57.79,Saint Paul Harbor,44.6,18.66,45,1000,38.03,1
-7.72,4.38,Harper,77.65,84.27,84,1012,4.03,85
-122.42,37.77,San Francisco,47.48,39.45,75,1013,10.29,1
-134.97,-23.12,Rikitea,73.2,70.03,78,1017,15.75,74
73.08,-0.6,Hithadhoo,84.29,88.38,71,1012,9.95,52
49.3,55.91,Vysokaya Gora,48.49,40.08,74,1010,11.18,75
-95.36,29.76,Houston,70.86,72.23,94,1015,10.29,75
42.49,61.03,Kuloy,30.65,20.79,94,1010,10.47,63
133.88,-23.7,Alice Springs,102.2,94.19,9,1011,8.05,0
100.34,5.41,George Town,83.48,91.71,78,1011,4.7,20
-115.95,30.48,San Quintín,61.66,51.82,63,1014,17.13,28
-22.43,63.84,Grindavik,42.8,29.05,93,1006,20.8,90
-27.07,38.73,Praia da Vitória,51.8,47.48,87,1022,6.91,20
-68.3,-54.8,Ushuaia,39.2,30.02,92,1010,11.41,75
115.33,-33.65,Busselton,60.93,58.55,81,1000,7.0,100
20.04,-34.53,Bredasdorp,46.4,43.09,81,1026,2.24,34
56.49,49.14,Shubarkuduk,43.9,30.11,85,1012,20.42,99
32.04,-28.78,Richards Bay,73.96,75.34,84,1018,10.04,82
164.28,-20.57,Koumac,76.15,71.04,70,1013,18.97,38
-109.91,22.89,Cabo San Lucas,73.85,71.55,73,1013,13.2,5
70.83,66.83,Yar-Sale,17.76,8.19,97,983,7.65,95
1.39,51.38,Margate,56.26,56.93,92,1014,1.01,100
129.48,28.37,Naze,71.6,63.46,56,1018,17.22,75
111.5,66.0,Aykhal,3.2,-8.16,84,1000,8.95,90
92.4,53.28,Yermakovskoye,40.53,36.52,74,1014,1.03,100
168.33,-46.6,Bluff,55.99,50.27,72,1022,8.99,60
-96.47,15.74,Pochutla,75.99,82.56,84,1011,2.62,39
-57.56,-38.0,Mar del Plata,60.44,59.23,93,1022,6.93,75
57.76,-20.34,Bambous Virieux,76.06,77.68,88,1022,12.75,75
10.28,36.77,Radès,57.2,57.76,100,1023,3.04,20
27.34,-17.62,Binga,84.13,84.06,32,1012,0.78,80
178.0,-38.65,Gisborne,55.0,52.39,91,1008,5.99,42
166.46,-22.28,Noumea,78.8,69.21,50,1013,21.92,57
79.8,14.32,Vadlapūdi,83.1,82.8,55,1015,10.11,0
-17.1,32.67,Ponta do Sol,60.51,55.4,68,1023,9.17,20
-112.04,46.59,Helena,14.49,5.25,72,1018,5.82,90
135.31,54.72,Chumikan,11.82,-2.83,85,1017,15.57,14
26.89,-33.59,Port Alfred,61.75,53.96,83,1023,17.49,100
10.7,46.62,Laas,35.6,27.34,53,1025,5.82,5
-74.62,-15.43,Acarí,64.02,63.9,68,1016,2.01,47
73.1,6.88,Dhidhdhoo,84.63,89.13,73,1013,10.38,76
-159.32,22.08,Kapaa,78.35,77.85,74,1016,13.87,75
31.14,-23.94,Phalaborwa,82.4,85.39,54,1017,3.36,0
133.02,51.12,Chegdomyn,16.54,8.04,82,1015,5.06,96
-73.41,41.37,Bethel,46.78,44.44,93,1028,2.01,1
35.48,61.01,Voznesen'ye,34.03,22.32,88,1016,14.16,0
167.42,-16.1,Lakatoro,80.6,88.07,88,1009,6.93,75
153.43,-28.0,Gold Coast,72.77,63.86,49,1022,17.22,90
167.55,-13.88,Sola,82.4,92.25,88,1008,4.7,75
-73.82,-41.87,Ancud,50.95,47.23,81,1022,4.7,0
-54.33,-34.48,Rocha,53.76,52.07,94,1021,4.18,76
12.78,26.59,Ubari,52.57,49.69,81,1023,3.85,0
-35.37,-5.47,São Miguel,75.2,82.72,94,1013,3.36,75
23.35,38.0,Megara,59.25,54.36,67,1020,8.05,40
-28.7,38.52,Ribeira Grande,61.75,52.68,68,1020,16.78,68
-79.24,42.1,Jamestown,51.21,45.46,54,1028,4.7,1
147.92,70.63,Chokurdakh,-14.89,-23.3,90,1020,2.82,98
-124.16,40.6,Fortuna,41.09,34.14,80,1017,6.93,1
72.97,3.78,Mahibadhoo,80.65,84.06,81,1013,11.59,100
-151.75,-16.48,Faanui,76.75,72.79,80,1013,20.67,100
-124.25,54.43,Fort Saint James,23.79,16.47,85,1022,4.14,43
-133.04,69.45,Tuktoyaktuk,10.4,-7.29,85,1001,20.8,75
-41.05,-21.64,São João da Barra,74.16,79.7,95,1015,6.15,100
24.8,-14.78,Kaoma,74.19,70.84,26,1013,1.05,21
42.77,51.32,Kamenka,39.99,32.61,91,1019,8.37,94
147.06,-42.78,New Norfolk,76.14,73.09,29,1021,1.99,45
90.91,53.05,Beya,41.09,35.01,67,1013,4.21,100
80.55,73.51,Dikson,0.48,-14.46,92,986,15.26,95
161.3,68.75,Cherskiy,1.96,-6.43,94,1016,3.74,99
-175.2,-21.2,Vaini,80.6,84.49,74,1012,8.05,20
-121.92,36.62,Pacific Grove,42.64,36.93,75,1013,4.7,1
124.8,53.67,Taldan,13.89,3.96,84,1022,7.38,0
100.35,-0.95,Padang,82.87,89.19,72,1010,5.06,100
-45.24,60.14,Nanortalik,27.09,10.22,94,975,22.1,100
-156.79,71.29,Barrow,15.8,-3.57,78,1010,24.16,90
131.25,-0.88,Sorong,84.02,89.87,70,1007,6.13,86
90.22,25.52,Tura,80.98,83.93,51,1015,1.32,0
114.53,51.1,Aginskoye,35.11,29.97,86,1020,2.64,54
-85.57,30.15,Callaway,71.94,72.57,78,1017,8.05,1
5.22,59.36,Visnes,41.9,34.52,93,1024,9.17,100
36.13,-8.93,Malinyi,79.43,83.8,66,1017,3.27,3
169.85,-46.28,Kaitangata,52.0,43.05,71,1020,13.0,95
37.96,46.41,Kamyshevatskaya,51.12,45.99,83,1025,7.49,0
22.79,10.28,Birao,69.82,65.91,43,1013,5.39,13
140.83,35.73,Hasaki,61.99,52.48,31,1012,10.29,75
-53.46,-33.7,Chui,58.59,56.53,89,1020,6.6,41
72.64,10.57,Kavaratti,84.2,93.42,83,1013,5.82,20
106.88,47.91,Ulaanbaatar,33.8,27.18,47,1023,2.24,0
128.92,61.47,Mokhsogollokh,-4.27,-11.42,89,1022,1.05,100
15.16,-26.65,Lüderitz,58.68,43.77,71,1021,26.26,0
-122.7,58.81,Fort Nelson,12.2,5.18,92,1008,2.24,75
167.68,-46.13,Tuatapere,55.99,50.27,72,1022,8.99,96
149.85,-29.47,Moree,84.2,79.65,25,1020,5.82,8
-50.01,-24.79,Castro,60.71,59.94,85,1016,4.79,98
-90.35,-0.74,Puerto Ayora,68.0,70.3,89,1014,5.01,23
53.88,63.6,Sosnogorsk,30.33,20.73,95,995,9.95,100
82.18,29.27,Jumla,63.91,57.52,28,1021,4.54,0
24.73,-34.0,Kruisfontein,55.99,56.84,95,1025,1.01,100
-126.83,65.28,Norman Wells,12.2,5.18,92,997,2.24,75
93.45,42.8,Kumul,53.51,47.12,34,1021,3.56,0
31.9,54.43,Sobolevo,33.01,26.65,92,1027,4.68,0
117.63,62.14,Suntar,11.14,0.79,90,1013,7.99,100
-89.67,21.28,Progreso,74.23,79.83,94,1013,5.82,20
-11.37,6.75,Robertsport,77.88,85.17,83,1013,2.73,19
-71.14,21.46,Cockburn Town,79.3,76.48,87,1012,23.49,100
-68.15,-16.5,La Paz,46.4,38.3,67,1039,9.17,40
-105.28,55.1,La Ronge,12.2,-0.85,85,1017,12.75,100
38.12,55.62,Il’inskiy,30.36,22.57,94,1022,6.71,0
-2.58,53.39,Warrington,51.94,47.41,100,1017,9.17,75
147.18,-9.44,Port Moresby,89.6,93.42,62,1008,11.41,40
9.45,0.39,Libreville,77.0,83.53,94,1013,6.93,75
-147.72,64.84,Fairbanks,31.01,24.58,98,991,4.7,90
-114.35,62.46,Yellowknife,28.18,15.84,86,1006,13.87,75
173.17,-35.17,Ahipara,59.49,54.72,81,1004,10.49,47
5.5,59.78,Leirvik,39.2,31.32,93,1024,9.17,100
41.78,42.0,Ureki,47.17,38.1,81,1024,12.75,0
42.13,9.31,Harar,64.36,63.55,59,1019,1.45,0
142.95,53.57,Okha,25.97,8.22,95,1004,23.51,100
35.67,31.58,Madaba Governorate,55.24,48.96,76,1018,10.29,0
-90.99,14.76,Tecpan,59.81,57.87,88,1025,6.93,75
55.77,-21.36,Saint-Philippe,74.07,76.03,65,1020,3.36,0
-156.47,20.89,Kahului,73.04,65.46,69,1015,20.8,20
-173.3,64.38,Provideniya,32.0,24.57,98,1006,6.71,90
-4.22,51.03,Northam,54.52,50.25,93,1015,8.99,40
4.76,52.96,Den Helder,50.65,45.84,93,1021,8.05,90
74.98,46.84,Balkhash,37.4,20.7,69,1026,22.37,0
45.76,64.9,Leshukonskoye,32.88,23.05,96,999,11.07,94
29.09,70.86,Berlevåg,35.6,26.1,84,1000,10.33,100
-67.74,-10.15,Senador Guiomard,71.6,78.17,100,1012,3.36,40
127.98,26.59,Nago,74.48,69.24,53,1019,12.75,75
3.91,46.42,Saint-François,42.89,39.36,100,1021,3.36,20
85.32,27.72,Kathmandu,64.4,63.16,59,1025,2.24,20
140.78,51.47,De-Kastri,20.37,7.05,82,1011,14.12,98
156.12,50.68,Severo-Kuril'sk,35.13,19.56,92,995,21.56,100
87.73,50.3,Aktash,29.43,20.46,88,1015,8.23,100
-61.35,45.62,Port Hawkesbury,37.22,29.57,74,1028,6.67,90
-80.04,48.14,Kirkland Lake,48.2,43.86,93,1020,6.15,47
141.97,-38.27,Codrington,77.5,77.81,62,1017,7.67,98
102.27,-3.8,Bengkulu,78.93,85.51,82,1010,4.61,99
22.2,-33.59,Oudtshoorn,53.6,47.34,81,1025,10.29,75
124.29,8.0,Marawi,84.0,92.12,77,1007,5.01,18
22.95,51.75,Rudno,42.33,39.33,100,1028,2.24,90
31.11,70.37,Vardø,30.2,22.46,100,998,6.93,75
-114.06,27.98,Guerrero Negro,65.25,58.48,60,1015,12.64,86
150.8,-2.57,Kavieng,84.52,91.71,65,1007,2.13,58
42.51,18.22,Abhā,57.07,54.01,62,1029,3.04,0
-65.88,18.43,Loíza,73.45,79.65,100,1015,5.82,40
99.83,52.52,Orlik,32.65,27.59,84,1016,1.74,0
113.63,-24.87,Carnarvon,77.0,71.29,53,1013,14.99,40
135.87,-34.73,Port Lincoln,75.88,65.91,36,1011,16.46,20
172.79,3.07,Butaritari,82.22,84.16,66,1008,9.84,5
88.4,69.49,Talnakh,24.8,10.0,92,973,17.9,40
48.33,-21.22,Mananjary,77.59,80.44,67,1022,4.92,1
-76.51,38.89,Mayo,55.85,55.36,100,1028,4.09,1
-46.05,60.92,Narsaq,30.2,24.17,86,975,3.06,100
79.17,52.27,Klyuchi,40.82,23.7,65,1012,23.55,53
57.7,-20.41,Mahébourg,75.2,76.37,88,1022,12.75,75
-74.78,-0.19,Caucayá,72.12,78.42,93,1011,2.35,97
116.87,49.93,Dauriya,24.55,17.89,97,1024,3.62,91
-135.33,57.05,Sitka,44.6,28.26,75,1005,24.16,90
14.28,-22.12,Henties Bay,57.99,51.96,91,1019,13.67,86
-39.0,-14.28,Itacaré,74.16,78.1,86,1016,6.26,57
86.58,67.47,Igarka,28.0,19.36,99,974,7.96,100
-8.33,40.16,Lata,53.04,51.62,93,1021,3.2,11
0.78,9.25,Bassar,68.05,66.49,47,1013,1.59,34
108.8,15.12,Quang Ngai,76.59,75.43,84,1012,16.87,94
10.25,19.75,Agadez,59.72,51.4,47,1020,10.65,0
-116.55,48.28,Sandpoint,25.14,18.25,80,1020,3.36,90
141.43,-31.95,Broken Hill,91.4,83.46,17,1015,10.29,40
54.14,27.67,Gerāsh,62.6,60.44,67,1022,4.7,0
-7.14,52.53,Thomastown,55.0,55.0,95,1009,1.99,76
-79.15,-7.84,Chicama,60.22,60.46,85,1017,2.73,80
49.95,54.2,Novaya Malykla,32.45,22.91,93,1013,10.25,1
39.83,21.43,Makkah al Mukarramah,79.52,85.23,67,1015,1.32,3
-5.38,36.21,San Roque,60.8,60.55,82,1021,3.36,59
42.45,18.39,Faya,57.2,54.1,62,1029,3.15,0
-2.72,53.77,Preston,51.57,50.29,84,1015,1.01,80
114.88,40.81,Zhangjiakou,48.47,39.92,40,1026,7.27,0
147.33,-42.88,Hobart,74.93,68.0,31,1022,9.17,0
170.31,69.7,Pevek,17.15,10.29,95,1013,2.68,97
109.23,13.77,Qui Nhon,76.37,69.67,87,1009,27.49,100
32.66,49.08,Chyhyryn,45.9,39.4,78,1027,7.4,100
72.57,50.56,Osakarovka,30.94,9.61,95,1014,30.94,100
169.15,-44.7,Wanaka,56.89,52.38,58,1018,4.88,85
129.55,33.36,Hirado,62.17,52.61,36,1021,11.41,20
140.77,-37.83,Mount Gambier,84.2,76.03,23,1016,11.41,100
102.5,71.97,Khatanga,12.11,-3.68,92,987,17.81,100
57.76,-20.21,Quatre Cocos,76.15,77.83,88,1022,12.75,75
47.27,32.69,Dehlorān,76.93,74.12,32,1021,2.84,0
128.87,71.69,Tiksi,-9.09,-18.22,85,1018,4.29,0
4.27,39.89,Mahon,60.8,60.98,93,1021,4.7,0
-179.17,66.32,Egvekinot,17.65,6.6,96,1008,10.22,100
111.89,-8.12,Boyolangu,86.76,89.71,62,1009,10.29,94
-52.95,5.38,Sinnamary,78.21,80.33,83,1011,12.21,0
70.83,36.86,Jurm,50.02,44.19,39,1027,2.62,90
143.55,-35.34,Swan Hill,87.71,80.28,23,1017,11.25,40
45.47,-19.52,Miandrivazo,86.34,90.45,47,1017,1.12,99
-50.21,-30.18,Cidreira,67.95,64.53,88,1017,14.9,100
-97.86,55.74,Thompson,8.6,-4.67,84,1013,12.75,90
55.48,-21.34,Saint-Pierre,74.53,71.69,74,1020,14.99,20
33.64,-25.05,Xai-Xai,81.61,85.64,60,1016,3.31,0
-37.64,65.61,Tasiilaq,34.0,9.97,94,988,36.44,100
20.26,63.83,Umeå,35.6,26.92,73,1018,8.05,0
-34.86,-8.01,Olinda,77.0,81.14,88,1013,9.17,75
96.15,20.43,Yamethin,82.51,87.04,71,1014,7.47,0
122.76,63.9,Kysyl-Syr,-2.34,-10.75,89,1020,3.4,0
57.52,-20.52,Souillac,75.2,76.37,88,1022,12.75,75
12.92,18.69,Bilma,64.13,53.89,43,1017,14.65,0
-85.2,32.35,Russell,69.1,71.19,83,1021,4.7,1
-46.02,-1.2,Carutapera,79.12,84.25,82,1010,7.4,8
27.91,-33.02,East London,59.0,55.4,93,1022,10.29,75
128.05,46.95,Tieli,21.18,9.73,85,1022,11.05,4
53.35,47.65,Makat,46.72,32.04,65,1017,20.74,80
122.67,11.0,Dingle,85.62,94.46,74,1007,4.14,84
73.02,18.03,Srīvardhan,83.53,83.95,42,1016,3.8,0
-27.98,39.05,Lagoa,60.75,53.15,66,1021,13.31,88
155.63,-6.22,Kieta,83.59,91.63,73,1006,3.06,62
-151.02,-16.7,Fare,79.39,78.35,69,1014,13.94,100
29.42,38.5,Uşak Province,30.2,24.64,86,1022,2.24,0
55.62,-21.37,Saint-Joseph,75.4,72.91,74,1020,14.99,20
152.43,62.88,Seymchan,-0.09,-8.79,90,1018,4.07,100
161.92,-10.45,Kirakira,83.28,92.35,77,1007,2.57,100
18.97,-22.45,Gobabis,67.59,59.79,37,1017,10.02,34
-101.86,54.77,Flin Flon,12.02,-4.05,95,1012,18.39,100
-6.59,62.23,Klaksvík,48.2,42.01,100,1014,10.29,100
108.98,53.45,Ust'-Barguzin,38.7,32.5,85,1018,5.35,59
-74.53,-11.33,Mazamari,74.5,76.06,55,1017,1.3,87
178.42,69.38,Leningradskiy,19.99,11.93,94,1014,5.21,100
-10.07,20.5,Adrar,77.11,69.71,18,1016,6.35,52
53.15,67.68,Iskateley,27.45,18.18,98,994,8.9,99
5.33,60.39,Bergen,40.8,28.4,100,1024,18.34,0
-55.8,47.48,Harbour Breton,37.0,27.7,100,1025,11.61,65
-123.21,39.15,Ukiah,36.59,30.11,60,1014,3.36,1
45.05,-25.17,Beloha,87.08,80.67,29,1017,11.97,0
-52.2,-28.45,Marau,63.18,63.18,95,1014,6.98,100
127.76,26.18,Nishihara,75.06,68.7,60,1017,17.22,75
-24.5,14.9,São Filipe,79.3,82.9,75,1014,7.78,3
79.28,15.73,Mārkāpur,79.92,77.58,44,1016,7.49,0
33.94,26.73,Safaga,64.4,60.42,48,1015,4.7,0
119.87,-0.89,Palu,87.55,94.06,61,1008,4.23,56
-23.51,14.92,Praia,78.8,75.99,74,1014,18.34,0
39.18,6.98,Dodola,55.74,52.03,78,1020,6.26,18
36.57,5.78,Bako,63.5,65.68,92,1016,2.71,97
-120.46,34.64,Lompoc,49.59,42.93,62,1013,6.93,40
-9.5,29.58,Tiznit Province,57.92,56.35,64,1020,1.05,0
26.49,5.4,Obo,71.19,76.44,86,1013,1.45,92
58.14,48.83,Emba,43.63,29.55,75,1014,19.82,100
135.88,46.49,Vostok,17.94,6.98,90,1014,9.89,100
131.23,31.46,Kushima,65.34,55.63,37,1020,12.75,20
133.04,44.84,Chkalovskoye,26.44,15.87,91,1018,10.65,99
76.3,25.15,Anta,79.09,74.73,22,1018,2.8,0
102.6,15.82,Phon,84.99,92.21,99,1013,17.16,17
19.12,-24.13,Aranos,62.82,51.22,43,1019,16.62,67
15.64,78.22,Longyearbyen,26.6,17.17,79,1003,8.05,75
128.73,-15.77,Kununurra,104.0,104.0,24,1008,5.82,34
60.55,55.71,Kyshtym,32.16,18.54,93,998,17.43,35
